,city,latitude,longitude,weekly_temp,weekly_temp_feels_like,weekly_wind_speed,weekly_humidity,weekly_main_weather,avg_weekly_temp_feels_like,main_weather,Rank
19,Cassis,43.214,5.5396,"[29.87, 26.45, 26.86, 27.56, 28.75, 29.89, 28.7]","[30.15, 26.45, 27.91, 28.64, 29.23, 30.59, 30.82]","[3.42, 6.25, 4.34, 4.42, 3.37, 4.55, 4.04]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clear', 'Clouds']",29.11285714285714,Clear,15
16,Lyon,45.7578,4.832,"[26.17, 25.86, 27.82, 31.65, 35.69, 31.89, 32.59]","[26.17, 25.55, 27.45, 29.89, 33.83, 30.21, 30.76]","[6.44, 4.14, 4.17, 2.36, 3.89, 5.02, 3.8]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clear']",29.12285714285714,Clouds,16
26,Saintes Maries de la mer,43.4523,4.4287,"[32.69, 26.46, 28.82, 25.71, 26.09, 31.73, 32]","[32.91, 26.46, 29.1, 26.03, 26.09, 31.57, 31.77]","[9.99, 7.42, 6.44, 5.5, 5.41, 5.07, 7.37]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",29.132857142857144,Clouds,17
20,Marseille,43.2962,5.37,"[30.24, 26.6, 27.23, 27.33, 28.64, 30.81, 28.7]","[29.97, 26.6, 28.07, 28.51, 29.1, 31.26, 30.54]","[4.25, 5.69, 4.88, 4.18, 3.69, 3.53, 4.54]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clear', 'Clouds']",29.15,Clear,18
4,Rouen,49.4405,1.094,"[25.61, 29.82, 33.05, 34.43, 26.82, 29.46, 34.65]","[25.3, 28.59, 31.23, 32.53, 26.6, 27.91, 32.23]","[5.35, 4.75, 5.19, 6.47, 6.95, 5.16, 4.76]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clear']",29.198571428571427,Clouds,19
34,La Rochelle,46.1591,-1.152,"[28.55, 28.95, 30.86, 31.05, 28.46, 29.69, 33.91]","[27.68, 28.08, 29.59, 29.98, 28.24, 28.47, 32.42]","[7.45, 8.33, 6.02, 8.01, 8.12, 5.61, 6.47]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds']",29.208571428571425,Clear,20
1,St Malo,48.6495,-2.026,"[25.52, 25.54, 28.68, 23.13, 20.97, 23.12, 28.54]","[25.17, 25.46, 28.37, 23.07, 20.53, 22.85, 27.93]","[8.18, 8.02, 6.22, 6.96, 7.76, 5.05, 5.71]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",24.768571428571427,Clouds,21
9,Chateau du Haut Koenigsbourg,48.2495,7.3443,"[18.86, 21.15, 22.99, 28.93, 29.54, 26.05, 27.56]","[18.08, 20.5, 22.36, 27.66, 28.21, 26.05, 26.59]","[4.56, 4.39, 2.25, 1.9, 2.92, 2.49, 1.89]","[0, 0, 0, 0, 0.02, 0, 0]","['Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds', 'Clear', 'Clouds']",24.20714285714286,Clouds,22
18,Bormes les Mimosas,43.1572,6.3293,"[28.77, 27.39, 27.74, 28.76, 29.6, 30.05, 28.79]","[32.23, 28.02, 28.5, 29.59, 30.19, 31.28, 30.68]","[5.67, 5.66, 3.93, 3.41, 4.69, 3.34, 6.38]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clear', 'Clouds', 'Clear', 'Clear']",30.07,Clear,23
33,Bayonne,43.4933,-1.4751,"[26.05, 27.8, 27.77, 28.82, 27.74, 35.64, 39.2]","[26.05, 27.99, 28.36, 29.1, 27.93, 34.57, 38.54]","[3.85, 4.24, 3.94, 3.73, 3.63, 4.26, 4.14]","[0, 0, 0, 0, 0, 0, 0]","['Clear', 'Clear', 'Clear', 'Clouds', 'Clouds', 'Clouds', 'Clouds']",30.36285714285714,Clouds,24
